"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2023","5,030.0","5,060.0","5,080.0","4,955.0","917.80K","0.20%"
"02/09/2023","5,020.0","4,950.0","5,050.0","4,920.0","507.30K","0.20%"
"02/08/2023","5,010.0","5,040.0","5,070.0","4,930.0","1.20M","-1.57%"
"02/07/2023","5,090.0","5,100.0","5,130.0","5,030.0","470.60K","-0.39%"
"02/06/2023","5,110.0","5,120.0","5,220.0","5,110.0","845.70K","1.79%"
"02/03/2023","5,020.0","5,010.0","5,060.0","4,990.0","424.60K","1.62%"
"02/02/2023","4,940.0","5,040.0","5,040.0","4,935.0","295.20K","-0.70%"
"02/01/2023","4,975.0","5,060.0","5,060.0","4,965.0","373.40K","-0.90%"
"01/31/2023","5,020.0","5,060.0","5,080.0","5,000.0","516.50K","0.20%"
"01/30/2023","5,010.0","5,020.0","5,060.0","4,995.0","364.70K","-0.40%"
"01/27/2023","5,030.0","4,980.0","5,070.0","4,975.0","457.00K","0.60%"
"01/26/2023","5,000.0","4,995.0","5,010.0","4,975.0","451.20K","0.20%"
"01/25/2023","4,990.0","4,920.0","5,010.0","4,915.0","474.00K","0.50%"
"01/24/2023","4,965.0","4,885.0","4,985.0","4,880.0","574.40K","3.12%"
"01/23/2023","4,815.0","4,845.0","4,845.0","4,785.0","487.70K","0.73%"
"01/20/2023","4,780.0","4,780.0","4,795.0","4,735.0","486.00K","0.10%"
"01/19/2023","4,775.0","4,760.0","4,820.0","4,740.0","494.20K","-1.55%"
"01/18/2023","4,850.0","4,770.0","4,870.0","4,740.0","614.70K","2.54%"
"01/17/2023","4,730.0","4,650.0","4,750.0","4,645.0","499.90K","2.05%"
"01/16/2023","4,635.0","4,710.0","4,710.0","4,605.0","650.00K","-3.03%"
"01/13/2023","4,780.0","4,850.0","4,860.0","4,755.0","735.40K","-0.73%"
"01/12/2023","4,815.0","4,900.0","4,900.0","4,795.0","392.10K","-0.31%"
"01/11/2023","4,830.0","4,810.0","4,845.0","4,800.0","406.20K","1.26%"
"01/10/2023","4,770.0","4,795.0","4,830.0","4,720.0","527.50K","-0.21%"
"01/06/2023","4,780.0","4,775.0","4,800.0","4,755.0","324.70K","-0.10%"
"01/05/2023","4,785.0","4,835.0","4,835.0","4,780.0","386.40K","-0.73%"
"01/04/2023","4,820.0","4,850.0","4,855.0","4,790.0","424.60K","-2.03%"
"12/30/2022","4,920.0","4,915.0","4,950.0","4,890.0","513.20K","0.82%"
"12/29/2022","4,880.0","4,870.0","4,930.0","4,850.0","437.40K","-0.51%"
"12/28/2022","4,905.0","4,830.0","4,915.0","4,805.0","414.80K","0.62%"
"12/27/2022","4,875.0","4,900.0","4,930.0","4,865.0","341.80K","-0.31%"
"12/26/2022","4,890.0","4,895.0","4,935.0","4,870.0","308.70K","0.41%"
"12/23/2022","4,870.0","4,880.0","4,920.0","4,860.0","351.20K","-1.91%"
"12/22/2022","4,965.0","5,010.0","5,010.0","4,935.0","259.60K","0.10%"
"12/21/2022","4,960.0","5,010.0","5,020.0","4,935.0","380.70K","-1.59%"
"12/20/2022","5,040.0","5,220.0","5,220.0","4,970.0","538.00K","-2.89%"
"12/19/2022","5,190.0","5,240.0","5,260.0","5,150.0","581.30K","-2.81%"
"12/16/2022","5,340.0","5,330.0","5,370.0","5,300.0","486.90K","-1.66%"
"12/15/2022","5,430.0","5,450.0","5,480.0","5,410.0","233.50K","-1.27%"
"12/14/2022","5,500.0","5,510.0","5,520.0","5,490.0","322.50K","0.55%"
"12/13/2022","5,470.0","5,560.0","5,570.0","5,460.0","291.70K","-0.18%"
"12/12/2022","5,480.0","5,420.0","5,530.0","5,420.0","326.80K","0.00%"
"12/09/2022","5,480.0","5,370.0","5,480.0","5,360.0","654.60K","2.05%"
"12/08/2022","5,370.0","5,420.0","5,420.0","5,320.0","357.60K","-0.37%"
"12/07/2022","5,390.0","5,370.0","5,440.0","5,360.0","402.40K","-0.19%"
"12/06/2022","5,400.0","5,350.0","5,480.0","5,350.0","424.00K","0.56%"
"12/05/2022","5,370.0","5,390.0","5,390.0","5,310.0","416.80K","0.37%"
"12/02/2022","5,350.0","5,450.0","5,450.0","5,280.0","522.60K","-2.19%"
"12/01/2022","5,470.0","5,570.0","5,570.0","5,450.0","484.90K","1.11%"
"11/30/2022","5,410.0","5,380.0","5,440.0","5,360.0","681.30K","0.00%"
"11/29/2022","5,410.0","5,420.0","5,440.0","5,380.0","404.60K","1.12%"
"11/28/2022","5,350.0","5,300.0","5,360.0","5,280.0","317.30K","0.56%"
"11/25/2022","5,320.0","5,410.0","5,420.0","5,290.0","340.50K","-0.75%"
"11/24/2022","5,360.0","5,340.0","5,400.0","5,310.0","451.40K","1.52%"
"11/22/2022","5,280.0","5,300.0","5,370.0","5,270.0","446.60K","-1.12%"
"11/21/2022","5,340.0","5,320.0","5,350.0","5,270.0","322.60K","-0.56%"
"11/18/2022","5,370.0","5,350.0","5,400.0","5,310.0","387.00K","0.37%"
"11/17/2022","5,350.0","5,400.0","5,400.0","5,340.0","360.20K","-1.47%"
"11/16/2022","5,430.0","5,400.0","5,430.0","5,310.0","438.60K","0.74%"
"11/15/2022","5,390.0","5,430.0","5,450.0","5,380.0","325.10K","-1.28%"
"11/14/2022","5,460.0","5,450.0","5,490.0","5,430.0","447.50K","0.37%"
"11/11/2022","5,440.0","5,480.0","5,510.0","5,400.0","920.30K","3.03%"
"11/10/2022","5,280.0","5,290.0","5,320.0","5,230.0","554.80K","-1.49%"
"11/09/2022","5,360.0","5,410.0","5,440.0","5,340.0","564.60K","-1.47%"
"11/08/2022","5,440.0","5,440.0","5,510.0","5,430.0","379.50K","0.93%"
"11/07/2022","5,390.0","5,330.0","5,450.0","5,330.0","590.50K","1.32%"
"11/04/2022","5,320.0","5,500.0","5,520.0","5,280.0","952.50K","-5.00%"
"11/02/2022","5,600.0","5,540.0","5,660.0","5,540.0","616.60K","-0.71%"
"11/01/2022","5,640.0","5,640.0","5,670.0","5,610.0","315.60K","0.36%"
"10/31/2022","5,620.0","5,620.0","5,660.0","5,580.0","508.50K","1.81%"
"10/28/2022","5,520.0","5,580.0","5,600.0","5,490.0","1.04M","-1.95%"
"10/27/2022","5,630.0","5,610.0","5,660.0","5,590.0","380.80K","0.18%"
"10/26/2022","5,620.0","5,610.0","5,670.0","5,600.0","470.20K","0.90%"
"10/25/2022","5,570.0","5,560.0","5,580.0","5,490.0","391.70K","1.09%"
"10/24/2022","5,510.0","5,550.0","5,590.0","5,510.0","381.40K","1.10%"
"10/21/2022","5,450.0","5,480.0","5,570.0","5,440.0","542.20K","-2.15%"
"10/20/2022","5,570.0","5,590.0","5,610.0","5,540.0","541.90K","-1.42%"
"10/19/2022","5,650.0","5,650.0","5,680.0","5,610.0","642.20K","0.89%"
"10/18/2022","5,600.0","5,540.0","5,630.0","5,510.0","839.50K","4.67%"
"10/17/2022","5,350.0","5,240.0","5,350.0","5,230.0","370.30K","0.19%"
"10/14/2022","5,340.0","5,240.0","5,410.0","5,240.0","791.50K","3.49%"
"10/13/2022","5,160.0","5,210.0","5,210.0","5,110.0","407.40K","-0.58%"
"10/12/2022","5,190.0","5,190.0","5,210.0","5,150.0","407.20K","0.00%"
"10/11/2022","5,190.0","5,300.0","5,300.0","5,170.0","552.90K","-3.71%"
"10/07/2022","5,390.0","5,350.0","5,410.0","5,320.0","429.10K","-0.19%"
"10/06/2022","5,400.0","5,320.0","5,450.0","5,300.0","609.30K","0.93%"
"10/05/2022","5,350.0","5,400.0","5,400.0","5,290.0","696.60K","-0.93%"
"10/04/2022","5,400.0","5,360.0","5,400.0","5,300.0","780.90K","2.08%"
"10/03/2022","5,290.0","5,300.0","5,310.0","5,130.0","1.03M","2.92%"
"09/30/2022","5,140.0","5,160.0","5,220.0","5,100.0","1.52M","-0.96%"
"09/29/2022","5,190.0","5,060.0","5,220.0","5,020.0","1.72M","6.24%"
"09/28/2022","4,885.0","4,775.0","4,890.0","4,775.0","1.32M","1.98%"
"09/27/2022","4,790.0","4,865.0","4,875.0","4,770.0","566.30K","-0.52%"
"09/26/2022","4,815.0","4,905.0","4,925.0","4,790.0","718.80K","-4.46%"
"09/22/2022","5,040.0","5,050.0","5,090.0","5,030.0","544.60K","-1.18%"
"09/21/2022","5,100.0","5,080.0","5,140.0","5,070.0","633.70K","-1.54%"
"09/20/2022","5,180.0","5,200.0","5,210.0","5,160.0","690.20K","0.58%"
"09/16/2022","5,150.0","5,160.0","5,170.0","5,120.0","650.30K","-0.96%"
"09/15/2022","5,200.0","5,280.0","5,280.0","5,200.0","315.80K","-0.19%"
"09/14/2022","5,210.0","5,210.0","5,280.0","5,210.0","680.40K","-3.70%"
"09/13/2022","5,410.0","5,400.0","5,450.0","5,380.0","325.10K","0.37%"
